text,label
Infosys beats market expectations with 35% profit growth.,positive
TCS announces organizational restructuring.,neutral
Asian Paints faces regulatory investigation over irregularities.,negative
Shares of HCL Technologies surge after strong Q2 results.,positive
Dr. Reddy's announces organizational restructuring.,neutral
HDFC Bank faces legal challenges impacting market confidence.,negative
Maruti Suzuki schedules board meeting for Q1.,neutral
Analysts upgrade SBI on improved growth outlook.,positive
Shares of Infosys fall after weak Q2 results.,negative
Analysts downgrade Titan Company citing poor performance.,negative
Axis Bank completes acquisition of Logistics Inc.,neutral
Mahindra & Mahindra announces 32% increase in dividend payout.,positive
ITC faces legal challenges impacting market confidence.,negative
Shares of Adani Ports trade flat amid mixed market sentiment.,neutral
TCS beats market expectations with 11% profit growth.,positive
TCS misses earnings estimates with 14% drop in profit.,negative
Tata Motors stock plunges 25% amid concerns over debt levels.,negative
Investors cheer as Maruti Suzuki secures major contract worth INR 3762 crore.,positive
Shares of Bajaj Finance trade flat amid mixed market sentiment.,neutral
TCS misses earnings estimates with 23% drop in profit.,negative
Market participants await Tech Mahindra quarterly results.,neutral
Market participants await Maruti Suzuki quarterly results.,neutral
Bajaj Finance introduces a new product line in the domestic market.,neutral
Regulatory action against Reliance Industries triggers sell-off.,negative
ITC stock hits 52-week high on strong demand.,positive
Investors cheer as Asian Paints secures major contract worth INR 2337 crore.,positive
Mahindra & Mahindra completes successful acquisition of Energy Solutions.,positive
Kotak Mahindra Bank announces organizational restructuring.,neutral
Shares of Sun Pharma surge after strong Q1 results.,positive
Tata Motors completes acquisition of Energy Solutions.,neutral
Maruti Suzuki completes acquisition of Logistics Inc.,neutral
Maruti Suzuki misses earnings estimates with 7% drop in profit.,negative
Infosys posts record profits of INR 4281 crore.,positive
Shares of Maruti Suzuki trade flat amid mixed market sentiment.,neutral
Regulatory action against Adani Ports triggers sell-off.,negative
Wipro faces regulatory investigation over irregularities.,negative
HCL Technologies beats market expectations with 34% profit growth.,positive
Analysts upgrade Cipla on improved growth outlook.,positive
Tata Motors faces regulatory investigation over irregularities.,negative
Analysts downgrade Adani Ports citing poor performance.,negative
Wipro announces 24% increase in dividend payout.,positive
Investors cheer as Maruti Suzuki secures major contract worth INR 318 crore.,positive
Maruti Suzuki beats market expectations with 21% profit growth.,positive
ITC schedules board meeting for Q4.,neutral
Tata Motors announces leadership changes in key divisions.,neutral
Bharti Airtel reports robust performance with revenue of INR 617 crore in Q4.,positive
ITC introduces a new product line in the domestic market.,neutral
Shares of UltraTech Cement trade flat amid mixed market sentiment.,neutral
Adani Ports completes successful acquisition of Energy Solutions.,positive
Tech Mahindra faces legal challenges impacting market confidence.,negative
Investors exit Dr. Reddy's after disappointing Q3 guidance.,negative
Maruti Suzuki announces 27% increase in dividend payout.,positive
SBI completes acquisition of Industrial Group.,neutral
TCS misses earnings estimates with 8% drop in profit.,negative
Tech Mahindra announces 22% increase in dividend payout.,positive
Adani Ports announces organizational restructuring.,neutral
Regulatory action against Adani Ports triggers sell-off.,negative
JSW Steel posts losses of INR 2545 crore this quarter.,negative
Regulatory action against SBI triggers sell-off.,negative
Bajaj Finance faces regulatory investigation over irregularities.,negative
Dr. Reddy's introduces a new product line in the domestic market.,neutral
Shares of ITC trade flat amid mixed market sentiment.,neutral
Market participants await Titan Company quarterly results.,neutral
Market participants await Kotak Mahindra Bank quarterly results.,neutral
Analysts upgrade Hindustan Unilever on improved growth outlook.,positive
Dr. Reddy's beats market expectations with 6% profit growth.,positive
Sun Pharma posts losses of INR 1798 crore this quarter.,negative
Maruti Suzuki announces 28% increase in dividend payout.,positive
Reliance Industries schedules board meeting for Q4.,neutral
Power Grid announces organizational restructuring.,neutral
Reliance Industries posts record profits of INR 1269 crore.,positive
Tech Mahindra announces organizational restructuring.,neutral
ITC posts record profits of INR 3889 crore.,positive
Titan Company completes acquisition of Digital Services.,neutral
Sun Pharma faces regulatory investigation over irregularities.,negative
Shares of ICICI Bank surge after strong Q3 results.,positive
Tata Motors reports a 11% rise in quarterly revenue.,positive
Tech Mahindra posts record profits of INR 403 crore.,positive
Infosys reports a 28% rise in quarterly revenue.,positive
ITC beats market expectations with 31% profit growth.,positive
Shares of HCL Technologies surge after strong Q2 results.,positive
Shares of Cipla surge after strong Q3 results.,positive
UltraTech Cement schedules board meeting for Q2.,neutral
Hindustan Unilever announces 33% increase in dividend payout.,positive
Titan Company stock plunges 6% amid concerns over debt levels.,negative
Market participants await Axis Bank quarterly results.,neutral
TCS faces legal challenges impacting market confidence.,negative
Asian Paints stock hits 52-week high on strong demand.,positive
Bharti Airtel completes successful acquisition of Logistics Inc.,positive
ICICI Bank completes acquisition of Logistics Inc.,neutral
Tata Motors announces 34% increase in dividend payout.,positive
Market participants await Power Grid quarterly results.,neutral
HDFC Bank beats market expectations with 12% profit growth.,positive
Analysts downgrade Maruti Suzuki citing poor performance.,negative
Regulatory action against Infosys triggers sell-off.,negative
Mahindra & Mahindra announces 35% increase in dividend payout.,positive
Cipla completes successful acquisition of Logistics Inc.,positive
Investors cheer as HDFC Bank secures major contract worth INR 336 crore.,positive
Hindustan Unilever stock hits 52-week high on strong demand.,positive
Tata Motors introduces a new product line in the domestic market.,neutral
HCL Technologies reports a 18% decline in net profit.,negative
SBI posts record profits of INR 4121 crore.,positive
SBI completes acquisition of Industrial Group.,neutral
Tech Mahindra introduces a new product line in the domestic market.,neutral
Analysts downgrade Power Grid citing poor performance.,negative
JSW Steel misses earnings estimates with 9% drop in profit.,negative
Tata Motors stock plunges 18% amid concerns over debt levels.,negative
Titan Company announces 14% increase in dividend payout.,positive
Analysts upgrade Tata Motors on improved growth outlook.,positive
Shares of Kotak Mahindra Bank fall after weak Q4 results.,negative
Wipro schedules board meeting for Q1.,neutral
HDFC Bank introduces a new product line in the domestic market.,neutral
Market participants await ITC quarterly results.,neutral
Axis Bank reports a 14% rise in quarterly revenue.,positive
Titan Company announces organizational restructuring.,neutral
TCS reports a 16% rise in quarterly revenue.,positive
Tata Motors posts record profits of INR 4982 crore.,positive
Bharti Airtel announces 23% increase in dividend payout.,positive
Kotak Mahindra Bank reports a 3% decline in net profit.,negative
Titan Company completes acquisition of Industrial Group.,neutral
Asian Paints announces 18% increase in dividend payout.,positive
Regulatory action against Wipro triggers sell-off.,negative
Investors exit Tech Mahindra after disappointing Q2 guidance.,negative
Sun Pharma announces 12% increase in dividend payout.,positive
Sun Pharma announces leadership changes in key divisions.,neutral
Investors exit Hindustan Unilever after disappointing Q1 guidance.,negative
Tata Motors posts losses of INR 3790 crore this quarter.,negative
Analysts upgrade Bharti Airtel on improved growth outlook.,positive
Axis Bank reports robust performance with revenue of INR 3777 crore in Q2.,positive
Hindustan Unilever reports a 8% rise in quarterly revenue.,positive
Investors cheer as ICICI Bank secures major contract worth INR 4475 crore.,positive
Market participants await Adani Ports quarterly results.,neutral
Dr. Reddy's announces leadership changes in key divisions.,neutral
Shares of Power Grid surge after strong Q4 results.,positive
Maruti Suzuki posts record profits of INR 663 crore.,positive
Axis Bank posts losses of INR 2045 crore this quarter.,negative
Market participants await TCS quarterly results.,neutral
Regulatory action against ICICI Bank triggers sell-off.,negative
Bajaj Finance beats market expectations with 24% profit growth.,positive
SBI announces organizational restructuring.,neutral
Analysts downgrade Power Grid citing poor performance.,negative
Titan Company faces legal challenges impacting market confidence.,negative
Market participants await Maruti Suzuki quarterly results.,neutral
Reliance Industries announces organizational restructuring.,neutral
ICICI Bank faces legal challenges impacting market confidence.,negative
Mahindra & Mahindra schedules board meeting for Q3.,neutral
Tech Mahindra schedules board meeting for Q4.,neutral
UltraTech Cement faces legal challenges impacting market confidence.,negative
ITC announces leadership changes in key divisions.,neutral
Mahindra & Mahindra reports robust performance with revenue of INR 1258 crore in Q3.,positive
Tech Mahindra stock hits 52-week high on strong demand.,positive
HDFC Bank schedules board meeting for Q1.,neutral
Tata Motors introduces a new product line in the domestic market.,neutral
Shares of Tech Mahindra trade flat amid mixed market sentiment.,neutral
Cipla announces 10% increase in dividend payout.,positive
JSW Steel posts losses of INR 4716 crore this quarter.,negative
Axis Bank stock hits 52-week high on strong demand.,positive
Regulatory action against Wipro triggers sell-off.,negative
Reliance Industries reports a 19% decline in net profit.,negative
HCL Technologies stock plunges 8% amid concerns over debt levels.,negative
Shares of Adani Ports trade flat amid mixed market sentiment.,neutral
Tech Mahindra introduces a new product line in the domestic market.,neutral
Cipla stock plunges 11% amid concerns over debt levels.,negative
Dr. Reddy's announces organizational restructuring.,neutral
Shares of Bajaj Finance fall after weak Q4 results.,negative
Tata Motors stock plunges 12% amid concerns over debt levels.,negative
Shares of Bharti Airtel surge after strong Q1 results.,positive
Adani Ports announces 33% increase in dividend payout.,positive
ITC posts record profits of INR 1243 crore.,positive
JSW Steel completes acquisition of Capital Ltd.,neutral
Adani Ports posts losses of INR 623 crore this quarter.,negative
Mahindra & Mahindra announces 13% increase in dividend payout.,positive
Market participants await Maruti Suzuki quarterly results.,neutral
Reliance Industries completes acquisition of Energy Solutions.,neutral
Power Grid reports a 20% decline in net profit.,negative
HDFC Bank beats market expectations with 35% profit growth.,positive
Mahindra & Mahindra posts record profits of INR 4050 crore.,positive
JSW Steel completes acquisition of Tech Solutions.,neutral
Infosys stock plunges 15% amid concerns over debt levels.,negative
ICICI Bank completes acquisition of Tech Solutions.,neutral
Hindustan Unilever schedules board meeting for Q2.,neutral
Dr. Reddy's introduces a new product line in the domestic market.,neutral
Kotak Mahindra Bank introduces a new product line in the domestic market.,neutral
Wipro schedules board meeting for Q4.,neutral
Shares of HDFC Bank fall after weak Q1 results.,negative
Wipro announces leadership changes in key divisions.,neutral
Investors exit HCL Technologies after disappointing Q4 guidance.,negative
Shares of HDFC Bank surge after strong Q2 results.,positive
Shares of Dr. Reddy's surge after strong Q3 results.,positive
Regulatory action against SBI triggers sell-off.,negative
Dr. Reddy's announces organizational restructuring.,neutral
Shares of Tech Mahindra surge after strong Q3 results.,positive
Investors cheer as Sun Pharma secures major contract worth INR 3223 crore.,positive
ITC stock hits 52-week high on strong demand.,positive
Infosys reports a 27% rise in quarterly revenue.,positive
Shares of HDFC Bank trade flat amid mixed market sentiment.,neutral
TCS completes acquisition of Energy Solutions.,neutral
ICICI Bank announces 26% increase in dividend payout.,positive
Tata Motors reports a 24% decline in net profit.,negative
Shares of Cipla trade flat amid mixed market sentiment.,neutral
Bajaj Finance misses earnings estimates with 6% drop in profit.,negative
ITC beats market expectations with 5% profit growth.,positive
Tech Mahindra beats market expectations with 6% profit growth.,positive
TCS reports robust performance with revenue of INR 2983 crore in Q1.,positive
Kotak Mahindra Bank announces organizational restructuring.,neutral
Sun Pharma introduces a new product line in the domestic market.,neutral
Investors exit UltraTech Cement after disappointing Q1 guidance.,negative
Bajaj Finance stock plunges 14% amid concerns over debt levels.,negative
Adani Ports posts record profits of INR 971 crore.,positive
Kotak Mahindra Bank beats market expectations with 13% profit growth.,positive
Sun Pharma completes acquisition of Energy Solutions.,neutral
Bharti Airtel completes successful acquisition of Capital Ltd.,positive
Reliance Industries completes successful acquisition of Logistics Inc.,positive
Asian Paints posts losses of INR 2555 crore this quarter.,negative
Sun Pharma faces regulatory investigation over irregularities.,negative
Shares of ICICI Bank surge after strong Q3 results.,positive
Cipla announces 33% increase in dividend payout.,positive
SBI completes successful acquisition of Logistics Inc.,positive
Bajaj Finance posts losses of INR 1606 crore this quarter.,negative
Shares of Bharti Airtel fall after weak Q4 results.,negative
Market participants await Mahindra & Mahindra quarterly results.,neutral
HCL Technologies completes acquisition of Industrial Group.,neutral
Power Grid schedules board meeting for Q1.,neutral
Shares of Kotak Mahindra Bank fall after weak Q3 results.,negative
SBI introduces a new product line in the domestic market.,neutral
Dr. Reddy's faces legal challenges impacting market confidence.,negative
ICICI Bank beats market expectations with 24% profit growth.,positive
Shares of Asian Paints trade flat amid mixed market sentiment.,neutral
ITC reports robust performance with revenue of INR 153 crore in Q2.,positive
Regulatory action against Maruti Suzuki triggers sell-off.,negative
Shares of Mahindra & Mahindra trade flat amid mixed market sentiment.,neutral
Investors exit SBI after disappointing Q1 guidance.,negative
Tata Motors introduces a new product line in the domestic market.,neutral
UltraTech Cement faces regulatory investigation over irregularities.,negative
HDFC Bank announces leadership changes in key divisions.,neutral
SBI stock plunges 25% amid concerns over debt levels.,negative
ITC announces 8% increase in dividend payout.,positive
Market participants await Sun Pharma quarterly results.,neutral
ITC beats market expectations with 19% profit growth.,positive
Market participants await Bajaj Finance quarterly results.,neutral
Bajaj Finance faces legal challenges impacting market confidence.,negative
HCL Technologies completes acquisition of Logistics Inc.,neutral
Power Grid announces organizational restructuring.,neutral
Bajaj Finance faces legal challenges impacting market confidence.,negative
Cipla reports a 3% decline in net profit.,negative
Analysts downgrade Axis Bank citing poor performance.,negative
HCL Technologies stock plunges 12% amid concerns over debt levels.,negative
Power Grid completes acquisition of Logistics Inc.,neutral
Investors cheer as Infosys secures major contract worth INR 2676 crore.,positive
Market participants await Tata Motors quarterly results.,neutral
Hindustan Unilever introduces a new product line in the domestic market.,neutral
Power Grid stock plunges 10% amid concerns over debt levels.,negative
Sun Pharma beats market expectations with 9% profit growth.,positive
UltraTech Cement completes successful acquisition of Logistics Inc.,positive
Axis Bank announces organizational restructuring.,neutral
ICICI Bank announces organizational restructuring.,neutral
Regulatory action against Kotak Mahindra Bank triggers sell-off.,negative
Analysts downgrade Dr. Reddy's citing poor performance.,negative
Asian Paints reports robust performance with revenue of INR 2601 crore in Q1.,positive
SBI completes successful acquisition of Financial Corp.,positive
Titan Company posts losses of INR 604 crore this quarter.,negative
Hindustan Unilever stock hits 52-week high on strong demand.,positive
Power Grid schedules board meeting for Q2.,neutral
Titan Company misses earnings estimates with 22% drop in profit.,negative
ICICI Bank misses earnings estimates with 13% drop in profit.,negative
Reliance Industries stock plunges 16% amid concerns over debt levels.,negative
Sun Pharma faces regulatory investigation over irregularities.,negative
Analysts upgrade Maruti Suzuki on improved growth outlook.,positive
Shares of SBI trade flat amid mixed market sentiment.,neutral
Reliance Industries completes acquisition of Logistics Inc.,neutral
Mahindra & Mahindra posts record profits of INR 794 crore.,positive
Sun Pharma stock plunges 12% amid concerns over debt levels.,negative
SBI reports a 21% rise in quarterly revenue.,positive
HDFC Bank announces organizational restructuring.,neutral
UltraTech Cement stock plunges 10% amid concerns over debt levels.,negative
Shares of Adani Ports trade flat amid mixed market sentiment.,neutral
UltraTech Cement faces legal challenges impacting market confidence.,negative
Titan Company posts losses of INR 2290 crore this quarter.,negative
Infosys stock hits 52-week high on strong demand.,positive
Cipla posts record profits of INR 2193 crore.,positive
Analysts downgrade HDFC Bank citing poor performance.,negative
Shares of Titan Company surge after strong Q2 results.,positive
Market participants await JSW Steel quarterly results.,neutral
Investors exit ICICI Bank after disappointing Q3 guidance.,negative
TCS completes acquisition of Logistics Inc.,neutral
Tata Motors reports a 18% decline in net profit.,negative
SBI stock hits 52-week high on strong demand.,positive
Reliance Industries announces organizational restructuring.,neutral
Regulatory action against Hindustan Unilever triggers sell-off.,negative
Bharti Airtel misses earnings estimates with 14% drop in profit.,negative
Analysts upgrade Dr. Reddy's on improved growth outlook.,positive
Maruti Suzuki reports robust performance with revenue of INR 4829 crore in Q2.,positive
Bajaj Finance reports a 24% decline in net profit.,negative
Cipla misses earnings estimates with 9% drop in profit.,negative
Tech Mahindra stock plunges 20% amid concerns over debt levels.,negative
Kotak Mahindra Bank announces 33% increase in dividend payout.,positive
Shares of Power Grid surge after strong Q3 results.,positive
Sun Pharma posts record profits of INR 3746 crore.,positive
Power Grid completes successful acquisition of Energy Solutions.,positive
Market participants await Cipla quarterly results.,neutral
Analysts downgrade Tata Motors citing poor performance.,negative
ITC schedules board meeting for Q4.,neutral
Titan Company faces regulatory investigation over irregularities.,negative
Tech Mahindra completes acquisition of Energy Solutions.,neutral
Hindustan Unilever schedules board meeting for Q1.,neutral
JSW Steel schedules board meeting for Q2.,neutral
Sun Pharma reports a 7% decline in net profit.,negative
Shares of Power Grid trade flat amid mixed market sentiment.,neutral
Shares of Maruti Suzuki surge after strong Q2 results.,positive
Infosys schedules board meeting for Q4.,neutral
Investors cheer as ITC secures major contract worth INR 4929 crore.,positive
Reliance Industries stock hits 52-week high on strong demand.,positive
Shares of Reliance Industries fall after weak Q1 results.,negative
Titan Company reports robust performance with revenue of INR 919 crore in Q1.,positive
Analysts downgrade JSW Steel citing poor performance.,negative
UltraTech Cement introduces a new product line in the domestic market.,neutral
Mahindra & Mahindra schedules board meeting for Q2.,neutral
Regulatory action against Dr. Reddy's triggers sell-off.,negative
Dr. Reddy's faces legal challenges impacting market confidence.,negative
Power Grid announces 19% increase in dividend payout.,positive
Market participants await SBI quarterly results.,neutral
Adani Ports announces organizational restructuring.,neutral
Tata Motors schedules board meeting for Q3.,neutral
Investors exit TCS after disappointing Q1 guidance.,negative
Asian Paints announces organizational restructuring.,neutral
Analysts downgrade Axis Bank citing poor performance.,negative
Sun Pharma announces 7% increase in dividend payout.,positive
Tata Motors announces 8% increase in dividend payout.,positive
Shares of Dr. Reddy's surge after strong Q3 results.,positive
Hindustan Unilever reports a 34% rise in quarterly revenue.,positive
Analysts upgrade Kotak Mahindra Bank on improved growth outlook.,positive
Kotak Mahindra Bank misses earnings estimates with 8% drop in profit.,negative
UltraTech Cement introduces a new product line in the domestic market.,neutral
Asian Paints announces 8% increase in dividend payout.,positive
UltraTech Cement announces organizational restructuring.,neutral
Power Grid announces organizational restructuring.,neutral
Analysts upgrade Bajaj Finance on improved growth outlook.,positive
Investors exit Hindustan Unilever after disappointing Q3 guidance.,negative
Analysts upgrade Axis Bank on improved growth outlook.,positive
Dr. Reddy's announces organizational restructuring.,neutral
UltraTech Cement stock plunges 10% amid concerns over debt levels.,negative
Tech Mahindra stock hits 52-week high on strong demand.,positive
Adani Ports completes acquisition of Tech Solutions.,neutral
ICICI Bank stock hits 52-week high on strong demand.,positive
Shares of Bharti Airtel fall after weak Q2 results.,negative
Bharti Airtel reports robust performance with revenue of INR 3615 crore in Q1.,positive
SBI announces leadership changes in key divisions.,neutral
Asian Paints posts losses of INR 1574 crore this quarter.,negative
Analysts downgrade ICICI Bank citing poor performance.,negative
Wipro reports a 13% decline in net profit.,negative
Investors exit Bajaj Finance after disappointing Q1 guidance.,negative
Infosys announces organizational restructuring.,neutral
ICICI Bank reports robust performance with revenue of INR 2830 crore in Q1.,positive
HCL Technologies introduces a new product line in the domestic market.,neutral
Shares of TCS surge after strong Q4 results.,positive
Wipro beats market expectations with 31% profit growth.,positive
UltraTech Cement completes successful acquisition of Energy Solutions.,positive
TCS completes acquisition of Logistics Inc.,neutral
Wipro faces regulatory investigation over irregularities.,negative
Asian Paints reports a 5% rise in quarterly revenue.,positive
Shares of UltraTech Cement trade flat amid mixed market sentiment.,neutral
Titan Company schedules board meeting for Q3.,neutral
SBI faces legal challenges impacting market confidence.,negative
Maruti Suzuki announces leadership changes in key divisions.,neutral
Maruti Suzuki misses earnings estimates with 21% drop in profit.,negative
Shares of Asian Paints trade flat amid mixed market sentiment.,neutral
Wipro announces 20% increase in dividend payout.,positive
Tech Mahindra stock hits 52-week high on strong demand.,positive
Bajaj Finance announces organizational restructuring.,neutral
HDFC Bank announces organizational restructuring.,neutral
Bajaj Finance beats market expectations with 35% profit growth.,positive
Regulatory action against Tata Motors triggers sell-off.,negative
Asian Paints reports robust performance with revenue of INR 2391 crore in Q1.,positive
Shares of HDFC Bank trade flat amid mixed market sentiment.,neutral
Reliance Industries beats market expectations with 10% profit growth.,positive
Hindustan Unilever completes acquisition of Digital Services.,neutral
Investors cheer as Adani Ports secures major contract worth INR 2159 crore.,positive
Infosys introduces a new product line in the domestic market.,neutral
JSW Steel announces leadership changes in key divisions.,neutral
Shares of Asian Paints surge after strong Q1 results.,positive
Analysts downgrade Tata Motors citing poor performance.,negative
SBI beats market expectations with 30% profit growth.,positive
Axis Bank announces leadership changes in key divisions.,neutral
Dr. Reddy's posts losses of INR 1067 crore this quarter.,negative
Market participants await UltraTech Cement quarterly results.,neutral
Shares of JSW Steel fall after weak Q2 results.,negative
Market participants await Hindustan Unilever quarterly results.,neutral
Market participants await Adani Ports quarterly results.,neutral
Reliance Industries stock plunges 18% amid concerns over debt levels.,negative
Shares of Bharti Airtel trade flat amid mixed market sentiment.,neutral
Shares of Power Grid trade flat amid mixed market sentiment.,neutral
HDFC Bank posts losses of INR 707 crore this quarter.,negative
Asian Paints schedules board meeting for Q2.,neutral
Shares of Maruti Suzuki surge after strong Q3 results.,positive
Adani Ports announces 23% increase in dividend payout.,positive
Bajaj Finance announces 9% increase in dividend payout.,positive
Sun Pharma announces leadership changes in key divisions.,neutral
Titan Company announces organizational restructuring.,neutral
Market participants await Kotak Mahindra Bank quarterly results.,neutral
Mahindra & Mahindra reports a 12% decline in net profit.,negative
SBI announces organizational restructuring.,neutral
Tata Motors faces legal challenges impacting market confidence.,negative
Reliance Industries posts record profits of INR 3034 crore.,positive
Analysts upgrade JSW Steel on improved growth outlook.,positive
Regulatory action against Sun Pharma triggers sell-off.,negative
Analysts downgrade Wipro citing poor performance.,negative
Infosys posts record profits of INR 3718 crore.,positive
UltraTech Cement schedules board meeting for Q1.,neutral
Investors cheer as Maruti Suzuki secures major contract worth INR 2600 crore.,positive
Shares of Mahindra & Mahindra surge after strong Q3 results.,positive
Market participants await Tech Mahindra quarterly results.,neutral
Infosys completes acquisition of Industrial Group.,neutral
Bharti Airtel introduces a new product line in the domestic market.,neutral
Investors exit Bajaj Finance after disappointing Q4 guidance.,negative
Cipla announces organizational restructuring.,neutral
Shares of Dr. Reddy's trade flat amid mixed market sentiment.,neutral
Kotak Mahindra Bank schedules board meeting for Q3.,neutral
Reliance Industries announces leadership changes in key divisions.,neutral
Cipla schedules board meeting for Q3.,neutral
HDFC Bank completes successful acquisition of Industrial Group.,positive
ITC introduces a new product line in the domestic market.,neutral
Bharti Airtel stock hits 52-week high on strong demand.,positive
Wipro reports robust performance with revenue of INR 1157 crore in Q4.,positive
Adani Ports beats market expectations with 16% profit growth.,positive
Bharti Airtel announces 25% increase in dividend payout.,positive
Bharti Airtel posts losses of INR 711 crore this quarter.,negative
Tech Mahindra faces regulatory investigation over irregularities.,negative
Cipla announces 6% increase in dividend payout.,positive
Infosys faces legal challenges impacting market confidence.,negative
Regulatory action against Wipro triggers sell-off.,negative
Market participants await ITC quarterly results.,neutral
Bajaj Finance introduces a new product line in the domestic market.,neutral
TCS completes successful acquisition of Digital Services.,positive
Infosys announces organizational restructuring.,neutral
HCL Technologies stock hits 52-week high on strong demand.,positive
HDFC Bank announces organizational restructuring.,neutral
Sun Pharma beats market expectations with 13% profit growth.,positive
Dr. Reddy's posts losses of INR 2018 crore this quarter.,negative
Reliance Industries announces leadership changes in key divisions.,neutral
Investors exit HCL Technologies after disappointing Q2 guidance.,negative
Hindustan Unilever schedules board meeting for Q3.,neutral
Infosys announces 30% increase in dividend payout.,positive
TCS reports a 12% rise in quarterly revenue.,positive
Dr. Reddy's posts losses of INR 2087 crore this quarter.,negative
Investors cheer as Bajaj Finance secures major contract worth INR 3858 crore.,positive
Wipro posts record profits of INR 1581 crore.,positive
Titan Company reports a 5% decline in net profit.,negative
Regulatory action against JSW Steel triggers sell-off.,negative
Dr. Reddy's announces organizational restructuring.,neutral
Adani Ports announces 22% increase in dividend payout.,positive
Shares of Axis Bank fall after weak Q4 results.,negative
Axis Bank announces leadership changes in key divisions.,neutral
SBI completes acquisition of Digital Services.,neutral
Market participants await HDFC Bank quarterly results.,neutral
Shares of Adani Ports fall after weak Q2 results.,negative
Analysts downgrade SBI citing poor performance.,negative
Adani Ports completes acquisition of Energy Solutions.,neutral
Market participants await Adani Ports quarterly results.,neutral
Analysts upgrade UltraTech Cement on improved growth outlook.,positive
Regulatory action against ITC triggers sell-off.,negative
Shares of Hindustan Unilever trade flat amid mixed market sentiment.,neutral
HDFC Bank reports a 16% decline in net profit.,negative
Regulatory action against Mahindra & Mahindra triggers sell-off.,negative
HDFC Bank stock plunges 10% amid concerns over debt levels.,negative
Reliance Industries stock hits 52-week high on strong demand.,positive
Cipla announces leadership changes in key divisions.,neutral
ITC posts record profits of INR 1265 crore.,positive
Shares of Infosys surge after strong Q4 results.,positive
Adani Ports schedules board meeting for Q3.,neutral
Asian Paints reports a 5% decline in net profit.,negative
Kotak Mahindra Bank introduces a new product line in the domestic market.,neutral
Kotak Mahindra Bank completes successful acquisition of Tech Solutions.,positive
Shares of Dr. Reddy's surge after strong Q2 results.,positive
Sun Pharma posts record profits of INR 1526 crore.,positive
Wipro announces organizational restructuring.,neutral
Titan Company introduces a new product line in the domestic market.,neutral
Bharti Airtel reports a 11% rise in quarterly revenue.,positive
Market participants await Bharti Airtel quarterly results.,neutral
SBI announces leadership changes in key divisions.,neutral
JSW Steel stock plunges 11% amid concerns over debt levels.,negative
Infosys completes successful acquisition of Energy Solutions.,positive
Market participants await Sun Pharma quarterly results.,neutral
UltraTech Cement misses earnings estimates with 22% drop in profit.,negative
Investors cheer as ICICI Bank secures major contract worth INR 1655 crore.,positive
Regulatory action against Tech Mahindra triggers sell-off.,negative
Investors cheer as HDFC Bank secures major contract worth INR 4408 crore.,positive
Mahindra & Mahindra introduces a new product line in the domestic market.,neutral
ICICI Bank posts record profits of INR 1994 crore.,positive
Maruti Suzuki announces leadership changes in key divisions.,neutral
Reliance Industries posts losses of INR 1835 crore this quarter.,negative
HCL Technologies announces organizational restructuring.,neutral
Reliance Industries completes successful acquisition of Tech Solutions.,positive
HCL Technologies reports robust performance with revenue of INR 2008 crore in Q3.,positive
Sun Pharma faces legal challenges impacting market confidence.,negative
Bharti Airtel schedules board meeting for Q4.,neutral
Bharti Airtel posts record profits of INR 942 crore.,positive
Power Grid posts losses of INR 3003 crore this quarter.,negative
Investors cheer as Hindustan Unilever secures major contract worth INR 2535 crore.,positive
ICICI Bank stock hits 52-week high on strong demand.,positive
Investors exit Axis Bank after disappointing Q2 guidance.,negative
Dr. Reddy's faces regulatory investigation over irregularities.,negative
Dr. Reddy's faces regulatory investigation over irregularities.,negative
Asian Paints completes acquisition of Capital Ltd.,neutral
Tata Motors posts record profits of INR 1550 crore.,positive
Investors cheer as Sun Pharma secures major contract worth INR 4175 crore.,positive
Mahindra & Mahindra announces organizational restructuring.,neutral
Adani Ports announces leadership changes in key divisions.,neutral
Tech Mahindra completes acquisition of Logistics Inc.,neutral
Market participants await Titan Company quarterly results.,neutral
Market participants await ITC quarterly results.,neutral
UltraTech Cement beats market expectations with 21% profit growth.,positive
Shares of Axis Bank fall after weak Q4 results.,negative
TCS completes acquisition of Tech Solutions.,neutral
JSW Steel completes successful acquisition of Tech Solutions.,positive
Investors cheer as Bajaj Finance secures major contract worth INR 2311 crore.,positive
Wipro introduces a new product line in the domestic market.,neutral
TCS faces regulatory investigation over irregularities.,negative
Shares of Hindustan Unilever surge after strong Q2 results.,positive
Shares of SBI surge after strong Q2 results.,positive
HCL Technologies posts losses of INR 1024 crore this quarter.,negative
ITC reports a 15% decline in net profit.,negative
Dr. Reddy's announces organizational restructuring.,neutral
Regulatory action against Power Grid triggers sell-off.,negative
Power Grid posts record profits of INR 3906 crore.,positive
Market participants await Bharti Airtel quarterly results.,neutral
Tata Motors completes successful acquisition of Logistics Inc.,positive
Shares of Wipro surge after strong Q2 results.,positive
SBI misses earnings estimates with 13% drop in profit.,negative
Tata Motors announces organizational restructuring.,neutral
ICICI Bank beats market expectations with 26% profit growth.,positive
UltraTech Cement introduces a new product line in the domestic market.,neutral
TCS beats market expectations with 32% profit growth.,positive
Investors exit ITC after disappointing Q3 guidance.,negative
Shares of Cipla trade flat amid mixed market sentiment.,neutral
Infosys reports a 14% decline in net profit.,negative
JSW Steel announces organizational restructuring.,neutral
